"Messiah, 'Rufus Müller', 'Brett Polegato', 'Tafelmusik Chamber Choir', 'Tafelmusik Baroque Orchestra', 'Ivars Taurins']","['1QL7yTHrdahRMpvNtn6rI2', '4UFDBsg22RO4cFq8xzEFcB', '1VAybmgrRVxINWWCSoP5FB', '4TOV6X8a47HCo37VkVOz3y', '2AwzJg6tQbqFXsGH9XBud2', '0wv2XfzcgXVfwt9cnUYzWe', '4yscD4NQlCKXEpUvBV3nj8', '7bkJA2d1b9hbquGk93wC1i']",19,2,False,0.402,0.256,1,-14.107000000000001,1,0.0298,0.9890000000000001,0.132,0.10300000000000001,0.26,100.055,242280,4.0,2012,2012-10-02
Even In the Darkest Hours,False,0.562,0.28300000000000003,7,-19.404,0,0.0529,0.151,0.621,0.0693,0.39899999999999997,188.05900000000003,324600,4.0,1992,1992
"Symphony No. 5, 'John Storgårds']","['73I7vbj7hzsw8rW4LUoxtz', '1z9u3vLr7gw6IBS8CP8c2X', '2TizFx4bl9T8efWXNuxWor']",6,3,False,0.22899999999999998,0.37799999999999995,3,-15.752,1,0.0373,0.9470000000000001,0.813,0.28800000000000003,0.156,98.897,186800,1.0,2015,2015
Tell Me How,False,0.6509999999999999,0.537,4,-8.997,1,0.0281,0.0198,1.66e-06,0.10400000000000001,0.695,136.536,129360,4.0,2001,2001-01-01
Ma Maistresse,"['3AZc9JzzjUxFfCNBHQIWXH', '5kZcVw6zAbujS5OJr8fnMr', '4aZDaDcC4S0B7IfXPFAaAA', '5NGejBJtAuHWcsKe1lcUVj']",10,1,False,0.217,0.0621,0,-21.079,1,0.0487,0.993,0.915,0.11,0.28300000000000003,83.654,291733,4.0,2012,2012-11-16
Dear Old Stockholm,False,0.5760000000000001,0.21100000000000002,7,-14.661,0,0.0436,0.909,0.857,0.19899999999999998,0.29,133.588,596947,4.0,2013,2013-03-11
Meeting Like This,False,0.6809999999999999,0.6509999999999999,9,-5.864,1,0.0362,0.0609,0.0,0.114,0.747,145.27200000000005,199307,4.0,2007,2007-01-01
"Keyboard Sonata No. 29 in E-Flat Major, '5Kb0Qf13EyYtVJvzCdI9M7']",1,1,False,0.341,0.0932,3,-25.171999999999997,1,0.0423,0.995,0.9179999999999999,0.149,0.308,74.24600000000002,465853,4.0,1998,1998-04-15
Alien In My Nose,False,0.605,0.586,9,-9.826,1,0.332,0.5670000000000001,0.000526,0.828,0.645,91.816,216440,4.0,2006,2006-01-01
8th Floor Euphoria,False,0.22399999999999998,0.34299999999999997,6,-25.76,1,0.0701,0.264,0.306,0.287,0.0242,77.377,68507,3.0,2008,2008-01-11
LA LA LAND,True,0.9159999999999999,0.499,10,-7.324,0,0.0632,0.294,0.0004480000000000001,0.11699999999999999,0.39,104.045,167724,4.0,2020,2020-07-03
"Adieu vous dy l'espoir de ma jonesse [Chansonnier Cordiforme, 'Raitis Grigalis', 'Ensemble Leones', 'Marc Lewon']","['4kCZ5nyurc9eIqLJfUcW0Y', '3keC8fWB5TyXQ8dMhzSuZE', '7LP7rpjWBW56SwDXG4EkGh', '4NFHFqu4lLW38TWHbVWfCV']",7,1,False,0.17800000000000002,0.0799,5,-20.099,1,0.0396,0.993,0.000792,0.109,0.11699999999999999,86.947,270853,3.0,2016,2016-10-14
Tear Off Head,False,0.718,0.495,2,-9.718,1,0.0369,0.214,0.631,0.0684,0.218,134.983,254135,4.0,2013,2013-11-08
Sex Type Thing - Swing Type Version; 2017 Remaster [Remastered],False,0.617,0.46399999999999997,4,-10.161,1,0.0524,0.0472,0.0161,0.0958,0.361,60.356,263333,4.0,1992,1992-09-29
Periodontal,False,0.552,0.254,1,-19.798,1,0.0354,0.899,0.0715,0.146,0.0578,98.115,95079,4.0,2018,2018-05-25
Clouds Dissolving,False,0.10800000000000001,0.413,10,-12.135,1,0.0357,0.385,0.953,0.0911,0.078,92.554,198089,4.0,2012,2012-06-28
Evil - Zane Lowe BBC Session,False,0.511,0.675,5,-6.051,1,0.0595,0.14300000000000002,0.278,0.154,0.4970000000000001,131.387,212760,4.0,2005,2005-02-08
Hark the Herald Angels Sing,1,False,0.5820000000000001,0.179,7,-17.750999999999994,1,0.0484,0.9259999999999999,0.889,0.115,0.377,129.852,196507,4.0,1994,1994
Into the Abyss,True,0.37799999999999995,0.606,7,-5.359,1,0.0364,5.710000000000001e-05,3.9399999999999995e-05,0.126,0.613,174.92700000000005,183000,4.0,2015,2015-02-28
Omoide No Sampo-michi (Promenade of Memories),4,1,False,0.589,0.0698,5,-17.815,0,0.0388,0.993,0.001,0.10800000000000001,0.201,112.454,230467,4.0,2005,2005-09-13
Axe of Men,False,0.648,0.542,10,-17.94,0,0.0381,0.000586,0.621,0.124,0.922,121.98200000000001,235107,4.0,1990,1990-10-30
La Chivita, '5lPi5XOPyJIbyFYC3INhRQ', '43PF3JhRpIZYMW4UprOtzA']",12,1,False,0.624,0.528,4,-8.449,1,0.0364,0.82,0.0,0.9490000000000001,0.715,114.15899999999999,271933,4.0,2011,2011-04-30
Waltz,False,0.535,0.284,7,-16.099,0,0.0523,0.818,0.919,0.109,0.272,115.43299999999999,29716,4.0,2019,2019-11-15
