,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
90,65.9,47.4,55.8,65.9,43.8,55.3,36.0,49.6,0.0,0.0,0.0,0.0,0.0,23.0,12.9,292.7,9.2,9.9,257.6,22.4,9.0,0.0
91,74.9,43.6,58.2,74.9,41.5,57.9,32.7,42.0,0.0,0.0,0.0,0.0,0.0,20.6,6.8,51.7,24.0,9.9,246.9,21.4,8.0,0.05
92,71.2,60.9,64.9,71.2,60.9,64.9,63.1,94.0,0.384,100.0,29.17,0.0,0.0,28.9,13.1,210.8,89.5,5.6,41.0,3.6,2.0,0.12
93,69.9,46.8,59.7,69.9,46.8,59.6,44.5,58.9,0.0,0.0,0.0,0.0,0.0,17.7,9.4,217.3,36.1,9.9,138.4,11.9,5.0,0.35
94,79.9,55.9,69.1,79.9,55.9,69.1,53.9,61.2,0.0,0.0,0.0,0.0,0.0,25.4,12.8,140.0,13.4,9.9,240.5,20.8,9.0,0.75
95,80.1,57.5,69.8,80.9,57.5,69.8,56.1,62.7,0.0,0.0,0.0,0.0,0.0,20.1,9.6,161.4,41.7,9.9,168.0,14.7,9.0,1.0
96,67.1,59.5,63.3,67.1,59.5,63.3,52.7,68.6,0.0,0.0,0.0,0.0,0.0,29.2,16.6,289.5,90.0,9.9,121.3,10.6,5.0,0.18
97,80.8,53.7,66.8,79.9,53.7,66.7,47.4,55.3,0.0,0.0,0.0,0.0,0.0,16.1,9.8,48.4,7.1,9.9,296.8,25.8,9.0,0.32
98,83.6,58.2,70.7,82.9,58.2,70.6,53.5,56.8,0.0,0.0,0.0,0.0,0.0,20.8,9.4,3.3,11.9,9.9,287.5,25.0,9.0,0.37
99,87.5,71.4,78.7,88.8,71.4,79.3,65.4,65.5,0.0,0.0,0.0,0.0,0.0,23.0,10.4,207.6,52.6,9.9,228.1,19.7,8.0,0.68
100,87.5,70.0,77.7,87.7,70.0,78.1,63.6,63.3,0.0,0.0,0.0,0.0,0.0,27.8,11.7,206.5,52.6,9.9,258.1,22.2,10.0,0.74
101,77.4,67.1,70.8,77.4,67.1,70.8,64.9,81.7,0.178,100.0,20.83,0.0,0.0,25.3,13.3,94.3,88.2,9.4,101.8,8.6,5.0,0.89
102,84.5,64.2,75.1,83.9,64.2,75.0,59.2,60.5,0.0,0.0,0.0,0.0,0.0,18.3,9.7,103.3,32.0,9.9,232.1,20.2,9.0,1.0
103,90.6,70.5,79.3,92.1,70.5,80.2,66.1,66.0,0.0,0.0,0.0,0.0,0.0,29.3,13.3,293.9,35.0,9.9,263.9,23.0,9.0,0.04
104,84.2,67.9,76.5,83.1,67.9,76.3,59.2,57.5,0.0,0.0,0.0,0.0,0.0,23.0,13.2,67.8,33.3,9.9,296.2,25.7,9.0,0.11
105,84.3,65.6,73.6,85.8,65.6,73.8,62.5,68.7,0.673,100.0,16.67,0.0,0.0,39.1,10.8,115.5,55.5,9.6,209.4,18.2,10.0,0.19
106,94.5,72.0,84.2,103.5,72.0,89.1,71.5,67.4,0.0,0.0,0.0,0.0,0.0,19.7,9.9,276.2,26.3,9.8,271.8,23.6,10.0,0.49
107,91.6,74.0,83.6,95.7,74.0,86.0,66.8,58.1,0.0,0.0,0.0,0.0,0.0,25.2,12.4,96.5,43.8,9.8,176.0,15.3,7.0,0.91
108,89.6,71.4,79.9,94.0,71.4,81.9,69.9,74.1,0.0,0.0,0.0,0.0,0.0,9.2,8.9,289.8,44.9,9.5,512.8,44.3,5.0,0.05
109,92.9,75.9,83.7,101.7,75.9,88.9,73.0,71.4,0.011,100.0,8.33,0.0,0.0,29.8,9.7,268.4,49.5,9.9,510.6,44.0,5.0,0.27
110,81.7,71.8,76.5,86.4,71.8,76.8,71.4,84.6,0.469,100.0,29.17,0.0,0.0,22.5,9.2,230.3,53.6,9.3,516.3,45.3,5.0,0.8
111,90.4,73.2,79.7,96.3,73.2,81.5,71.7,77.9,0.08,100.0,8.33,0.0,0.0,29.9,11.8,115.6,39.1,9.9,513.6,44.6,5.0,0.25
112,89.6,72.2,79.6,96.2,72.2,82.1,71.6,78.5,0.445,100.0,12.5,0.0,0.0,29.9,15.0,93.6,51.9,9.4,536.7,46.6,5.0,0.31
113,88.3,71.6,78.3,91.9,71.6,79.4,68.9,75.7,0.023,100.0,12.5,0.0,0.0,16.3,10.6,287.7,52.8,9.7,514.5,44.5,5.0,0.5
114,86.2,69.7,77.1,87.9,69.7,77.8,67.6,74.7,0.0,0.0,0.0,0.0,0.0,13.9,11.5,335.9,42.3,9.8,515.4,44.6,5.0,0.62
115,80.9,69.1,74.9,83.2,69.1,75.3,66.8,76.7,0.251,100.0,12.5,0.0,0.0,13.0,8.1,89.7,90.1,9.8,474.7,41.3,5.0,0.72
116,77.4,71.4,74.0,77.4,71.4,74.0,70.3,88.3,0.152,100.0,25.0,0.0,0.0,14.5,7.1,86.0,91.9,8.6,519.0,45.6,5.0,0.77
117,87.5,71.5,77.9,91.3,71.5,79.1,70.1,78.8,0.053,100.0,20.83,0.0,0.0,6.9,6.4,296.9,68.5,9.7,513.5,44.4,5.0,1.0
118,86.2,70.9,77.9,89.8,70.9,79.0,67.9,72.8,0.0,0.0,0.0,0.0,0.0,20.8,11.5,316.2,33.7,9.9,514.5,44.6,5.0,0.44
119,73.9,67.4,70.3,73.9,67.4,70.3,67.2,90.3,0.089,100.0,37.5,0.0,0.0,25.5,11.4,77.1,100.0,7.1,520.6,45.6,5.0,0.5
120,81.0,59.9,68.5,82.9,59.9,68.7,57.9,69.2,0.003,100.0,4.17,0.0,0.0,16.8,9.7,261.3,47.2,9.9,521.0,45.3,5.0,1.0
121,79.7,62.9,70.7,79.7,62.9,70.7,54.6,62.4,0.0,0.0,0.0,0.0,0.0,21.9,13.1,312.3,13.2,9.6,519.2,45.1,5.0,0.0
122,73.4,45.3,58.9,73.4,45.3,58.9,41.6,58.3,0.0,0.0,0.0,0.0,0.0,19.7,11.0,308.7,0.4,9.9,526.3,45.6,5.0,0.61
123,74.7,51.9,62.7,74.7,51.9,62.7,52.1,70.9,0.0,0.0,0.0,0.0,0.0,19.7,12.5,93.8,13.0,9.4,366.4,31.8,5.0,0.42
124,81.2,66.0,72.3,83.0,66.0,72.5,64.8,78.5,0.0,0.0,0.0,0.0,0.0,24.1,11.9,108.7,63.7,9.9,519.4,47.2,5.0,0.48
125,48.4,39.3,44.7,44.9,34.7,39.7,34.8,69.0,0.0,0.0,0.0,0.0,0.0,27.1,14.8,317.5,51.0,9.9,433.3,36.9,5.0,0.75
126,63.0,40.1,50.0,63.0,39.7,50.0,27.2,44.4,0.0,0.0,0.0,0.0,0.0,6.3,5.4,37.4,59.9,9.9,533.4,45.6,5.0,0.99
127,62.4,50.3,56.5,62.4,50.3,56.5,37.9,50.8,0.0,0.0,0.0,0.0,0.0,21.9,10.9,80.4,96.0,9.9,530.4,45.6,5.0,0.0
128,65.0,50.2,55.7,65.0,50.2,55.7,51.0,84.6,0.223,100.0,33.33,0.0,0.0,20.1,8.3,4.1,71.9,9.3,519.6,44.7,5.0,0.02
